index,core_people_number,important_node_number,live_apple,live_people_number,live_stay_fre,live_weekday_day_time,live_weekday_eve_time,live_weekend_day_time,live_weekend_eve_time,no_core_people_number,noimportant_node_number,sx_29_01,sx_29_02,sx_29_03,sx_29_04,sx_29_05,sx_29_06,sx_29_07,sx_29_08,sx_29_09,sx_29_10,sx_29_11,sx_29_12,sx_29_13,sx_29_14,sx_29_15,sx_29_16,visit_apple,visit_people_number,visit_stay_fre,visit_weekday_day_time,visit_weekday_eve_time,visit_weekend_day_time,visit_weekend_eve_time,walk_frequency,web_time_business,web_time_enjoy,web_time_life,web_time_other,work_apple,work_people_number,work_stay_fre,work_weekday_day_time,work_weekday_eve_time,work_weekend_day_time,work_weekend_eve_time
149532,6214,NA,13,328,13780,61157947,27203319,25167468,11176263,1122,NA,NA,4,5,108,480,616,711,836,654,735,534,428,489,299,301,343,1004,6762,13780,68073500,12998905,35985188,6010055,NA,87276406,98782266,135114969,209212288,20,246,13780,28876430,3550258,8906141,1550105
167385,10509,NA,525,1801,26344,681271196,386557796,317835452,152725482,1239,9,NA,3,23,135,1331,1931,1432,1239,997,955,621,371,271,168,195,846,2667,9299,26344,193778375,41450555,72127818,18693021,87258,253858732,243688250,401050836,602447208,173,658,26344,185198206,16321446,25823455,4770051
158826,13805,NA,611,1862,27170,562933532,296031061,254197745,107183601,2361,18,NA,2,21,179,1517,2189,2115,1870,1372,1339,1019,554,400,196,213,1352,3761,13539,27170,143275642,29148626,54865208,12221448,54575,327556599,358144220,626995975,826909878,233,766,27170,198979824,10581661,23245582,2629652
248039,612,NA,54,247,1786,96660895,44817650,38428319,16791742,133,1,NA,NA,1,30,160,108,92,57,59,44,41,16,10,8,5,44,127,458,1786,8830526,3638493,5324279,1911244,7194,15468549,20635660,20428525,47319195,4,40,1786,8511877,1500912,2036100,336624
203808,2611,NA,32,573,7275,162497522,91030800,77579584,39385862,433,3,NA,1,4,34,294,457,363,374,217,193,165,107,88,65,38,169,395,2360,7275,33124448,15734495,21381986,7146971,1303,43134725,46588128,50639855,104660726,12,111,7275,19116832,4494638,4482102,1261754
215973,235,NA,3,14,495,2310218,1172101,1178907,436155,29,NA,NA,NA,NA,6,22,42,38,42,26,19,13,17,5,5,1,9,79,247,495,3040869,510053,909315,140644,NA,6626259,7642696,22249810,15113670,NA,3,495,342854,123164,14176,20101
200269,404,NA,5,62,1026,14391383,8730645,6387753,3633208,47,NA,NA,NA,NA,13,46,67,67,54,38,40,29,7,8,1,4,22,92,363,1026,5483154,2581044,2838775,1043315,NA,8692280,10246170,31592922,25108200,2,26,1026,3690273,879540,1289980,272771
248760,786,NA,21,84,2277,15845266,9219338,7994604,3917115,105,2,NA,1,NA,24,108,151,128,83,83,87,49,31,26,13,14,42,259,792,2277,18429457,9180543,10037034,4701983,NA,20459398,25787162,28620328,48990029,2,15,2277,2936688,949980,1154477,496583
215921,756,NA,6,31,2097,7163099,4087902,3028268,1442569,56,NA,NA,NA,2,23,148,168,111,78,63,67,30,21,19,5,7,31,252,771,2097,9618090,4926036,4671616,1794352,NA,26790684,30685319,40713219,60926034,NA,10,2097,2107801,386707,723843,193393
222303,132,NA,7,33,365,12350763,5714326,5172464,2496831,33,4,NA,NA,NA,5,7,26,22,19,10,18,14,7,4,4,1,8,21,130,365,1360191,436731,1208619,376487,5293,2287381,3910919,1817442,6367201,NA,2,365,283057,12747,81671,5360
253000,397,NA,12,83,1371,29323021,11143893,11678289,4700228,347,12,NA,NA,1,19,62,78,83,73,60,60,43,31,19,15,11,37,90,614,1371,7337811,1807326,3765455,848362,8805,7916133,10396682,14107072,25207048,4,47,1371,8087533,1037287,1905778,474465
233810,531,NA,19,115,1079,28076819,13999563,12106047,5407267,100,2,NA,NA,1,3,50,83,76,73,56,46,49,33,39,32,19,25,138,495,1079,5540654,1666318,4542835,1044726,NA,10324670,12463544,13182029,26469742,6,21,1079,3775693,972357,1028954,291400
245914,187,NA,3,27,501,6970407,3830314,3747673,1617048,20,2,NA,NA,1,2,30,37,31,21,25,21,13,6,2,NA,NA,6,51,168,501,2617050,876421,1297572,428570,9090,5902680,6874545,11951859,14848327,2,12,501,2827899,686329,737193,213047
247385,125,NA,3,5,347,489083,482937,332403,212581,12,2,NA,NA,NA,1,16,25,20,13,18,11,7,3,5,2,2,7,48,131,347,1816655,582216,638056,232940,94,4783332,5550585,10850535,9941619,1,1,347,0,0,2199,0
204532,512,NA,11,44,1396,9929952,6550081,5299622,3033432,41,NA,NA,NA,NA,8,78,114,81,68,43,28,30,16,10,5,7,30,159,493,1396,6977438,4381173,4408284,2061788,NA,12615540,12592305,25257636,30101575,5,16,1396,2627529,580714,842163,232178
220203,897,NA,56,170,2122,59020656,34991139,29785438,13768815,102,NA,NA,NA,4,20,160,189,156,108,74,70,57,29,15,12,8,40,264,803,2122,10629332,3994588,6929093,2275590,NA,26076920,31584708,46288296,62168212,4,26,2122,3855330,648375,1255995,271846
109557,4551,NA,166,1035,9936,310445005,170685255,132944750,65493047,1462,3,NA,2,14,154,684,955,913,736,530,461,343,189,142,62,46,200,1348,4755,9936,35808095,9840455,19174090,5288341,39966,106892192,155052690,220366546,277655880,52,223,9936,47846638,3611314,8523966,1202218
93135,3580,NA,75,1887,8474,768416261,421202209,343042026,179032038,1008,NA,NA,2,5,45,261,365,456,463,362,365,321,195,189,114,144,223,239,2495,8474,45814667,17848949,26061704,9032410,NA,30888190,43759042,64008872,80371226,9,211,8474,29249950,4907470,10116669,1838304
58859,72,NA,NA,8,260,1319367,786489,388884,322704,13,NA,NA,NA,NA,2,7,13,16,11,8,7,4,4,1,3,2,2,14,76,260,1230312,535407,724399,277130,NA,994165,1962601,472540,3799581,NA,1,260,320747,83065,126695,17017
72423,408,NA,6,67,1070,19064215,8098172,8143608,3435867,88,1,NA,NA,NA,6,39,63,54,67,46,46,31,12,7,5,3,27,53,404,1070,5802217,868518,2831504,592286,544,4257918,6974092,9063696,11932524,NA,25,1070,3639424,176684,713143,107424
